citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj,endogeneity_ratio_any,endogeneity_ratio_maj,meets_threshold,z_score_any,p_value_any
AT,96,42,42,14,0.4375,0.14583333333333334,29,2.739260375038246,0.09744016649323621,0.012363486503193901,0.4251365134968061,0.13346984683013943,35.38645833333333,11.795486111111112,FALSE,NA,NA
BE,88,33,28,6,0.3181818181818182,0.06818181818181818,27,2.5971393143038335,0.13450292397660818,0.010508963527714816,0.3076728546541034,0.057672854654103364,30.277183600713013,6.487967914438502,FALSE,NA,NA
ES,88,36,42,18,0.4772727272727273,0.20454545454545456,27,2.621536597801539,0.10777777777777778,0.0206058108386565,0.4566669164340708,0.18393964370679805,23.162045454545456,9.92659090909091,FALSE,NA,NA
NO,57,26,23,5,0.40350877192982454,0.08771929824561403,16,2.1009517914227502,0.19143194467869792,0.005975685143210385,0.39753308678661414,0.08174361310240365,67.52510586811857,14.679370840895341,FALSE,NA,NA
FI,54,23,24,14,0.4444444444444444,0.25925925925925924,14,2.280954825176231,0.12775510204081633,0.00989078920255512,0.4345536552418893,0.24936847005670412,44.93518518518518,26.21219135802469,FALSE,NA,NA
TW,53,21,13,7,0.24528301886792453,0.1320754716981132,20,2.5503537588395115,0.10888671875,0.00329692973418504,0.24198608913373948,0.12877854196392816,74.39740566037736,40.06014150943396,FALSE,NA,NA
LU,41,11,6,2,0.14634146341463414,0.04878048780487805,14,2.1750620592596523,0.16867971678467306,0.00247269730063878,0.14386876611399535,0.04630779050423927,59.18292682926829,19.727642276422763,FALSE,NA,NA
SE,36,11,16,6,0.4444444444444444,0.16666666666666666,16,2.3816514838620733,0.13033448673587084,0.011333195961261075,0.43311124848318333,0.1553334707054056,39.216161616161614,14.706060606060607,FALSE,NA,NA
IL,35,13,11,4,0.3142857142857143,0.11428571428571428,12,2.066256475335758,0.16279069767441862,0.007624150010302906,0.30666156427541136,0.10666156427541137,41.22239382239382,14.989961389961389,FALSE,NA,NA
RU,29,14,8,2,0.27586206896551724,0.06896551724137931,15,2.2790102823290805,0.1412742382271468,0.0041211621677313005,0.27174090679778595,0.06484435507364801,66.93793103448276,16.73448275862069,FALSE,NA,NA
AR,20,6,9,2,0.45,0.1,12,2.124285702488205,0.17159763313609466,0.0010302905419328251,0.4489697094580672,0.09896970945806718,436.77,97.06,FALSE,NA,NA
PT,20,5,6,2,0.3,0.1,12,2.198228357586468,0.14677640603566527,0.0035029878425716053,0.2964970121574284,0.0964970121574284,85.64117647058823,28.54705882352941,FALSE,NA,NA
MX,19,11,3,1,0.15789473684210525,0.05263157894736842,12,2.1406327270261074,0.15680473372781065,0.0035029878425716053,0.15439174899953365,0.04912859110479681,45.07430340557275,15.024767801857584,FALSE,NA,NA
DK,17,7,3,1,0.17647058823529413,0.058823529411764705,11,2.1088873005939317,0.15625,0.00659385946837008,0.16987672876692406,0.052229669943394626,26.762867647058826,8.920955882352942,FALSE,NA,NA
HU,15,6,5,2,0.3333333333333333,0.13333333333333333,10,2.123866579413745,0.14128943758573387,0.002678755409025345,0.33065457792430797,0.13065457792430799,124.43589743589743,49.774358974358975,FALSE,NA,NA
CZ,14,4,2,0,0.14285714285714285,0,13,2.3354424640119333,0.1173469387755102,0.0035029878425716053,0.13935415501457124,-0.0035029878425716053,40.78151260504201,0,FALSE,NA,NA
BR,13,4,2,1,0.15384615384615385,0.07692307692307693,8,1.721954449406054,0.24099722991689748,0.00370904595095817,0.1501371078951957,0.07321403097211876,41.478632478632484,20.739316239316242,FALSE,NA,NA
IN,13,7,2,1,0.15384615384615385,0.07692307692307693,8,1.7721393884375285,0.2346938775510204,0.007212033793529775,0.14663412005262408,0.06971104312954715,21.331868131868134,10.665934065934067,FALSE,NA,NA
RS,13,3,3,0,0.23076923076923078,0,12,2.3399363607805803,0.10763888888888888,8.2423243354626e-4,0.22994499833568452,-8.2423243354626e-4,279.9807692307692,0,FALSE,NA,NA
TR,13,3,5,1,0.38461538461538464,0.07692307692307693,7,1.6357434952314973,0.2551020408163265,6.18174325159695e-4,0.38399721029022493,0.07630490259791724,622.1794871794872,124.43589743589745,FALSE,NA,NA
NZ,12,4,0,0,0,0,6,1.4105135571148382,0.33727810650887574,0.00453327838450443,-0.00453327838450443,-0.00453327838450443,0,0,FALSE,NA,NA
LT,11,1,5,0,0.45454545454545453,0,6,1.540305825226517,0.2727272727272727,6.18174325159695e-4,0.4539272802202948,-6.18174325159695e-4,735.3030303030303,0,FALSE,NA,NA
CN,8,5,5,2,0.625,0.25,5,1.4270610433807247,0.2839506172839506,0.012981660828353597,0.6120183391716464,0.23701833917164641,48.144841269841265,19.257936507936506,FALSE,NA,NA
RO,8,3,2,0,0.25,0,7,1.8891591637540215,0.16049382716049382,6.18174325159695e-4,0.2493818256748403,-6.18174325159695e-4,404.4166666666667,0,FALSE,NA,NA
LV,7,2,0,0,0,0,5,1.5498260458782016,0.22448979591836732,2.06058108386565e-4,-2.06058108386565e-4,-2.06058108386565e-4,0,0,FALSE,NA,NA
