id,publication_year,countries_str
W4255060347,2017,DE
W156627326,1989,NA
W2081514874,2007,US
W168622922,2003,AU
W2640444406,2015,CH
W1945738378,2002,NA
W7014253435,1981,NA
W2920036545,2013,NA
W198166843,2012,DE;ES
W1560179866,2010,ES;HU;SE;US
W1982488498,2013,CH
W3192778059,2019,NA
W4254291794,2005,NA
W2796628533,1974,NA
W4241837165,1992,NA
W2606173475,2017,NA
W2948533454,2014,NA
W166509791,2012,NA
W1546621621,2002,US
W4299372754,1974,NA
W620907375,1987,NA
W2918258230,2016,NA
W2535284759,2015,MA
W2088091054,2015,GB
W4251039766,1999,NA
W2145959026,2015,JP
W598235423,2002,NA
W2504172877,2008,NA
W2094722300,2010,DE;JP;KR
W1177602578,2014,SE
W2189657385,2004,NA
W3201181617,2021,NA
W2140053249,2007,US
W2067009645,1986,US
W7100241942,2016,NA
W2749520615,2008,NA
W4296471285,2015,DE
W2338299047,2016,AU;CA;US
W1592601577,2001,US
W2504121612,2012,US
W2469055036,2016,AU;US
W4240412429,2006,NA
W2165405551,2010,NL
W262821413,1981,DE
W613058852,2009,NA
W374094236,2000,NA
W2004763266,2009,US
W2962767161,2016,DE;FR
W2046222983,1993,US
W4240752520,2012,NA
W600549504,2003,NA
W2127111892,2010,US
W2029353864,2001,US
W568357700,1997,RU
W1989925373,2014,IE;US
W2511479263,2007,US
W2142944882,1988,FR;GB
W191643371,2003,NA
W2033190541,2010,IT;US
W2114514406,2011,NA
W2101068469,2004,NA
W2180354828,2015,US
W1970026646,1974,US
W1984115169,2011,NL
W218682567,2013,NA
W2064816492,2012,GB
W2784568301,2018,NA
W2546101873,2011,DE
W4301215779,1996,NA
W2882319491,1954,NA
W2196673986,2006,NA
W2092911974,2009,FR;IN;US
W2115323600,2006,NA
W1481831381,1987,NA
W1973630779,1940,US
W2797013687,1989,US
W1540299793,2012,IE;IL
W3164103561,2019,NA
W1589370292,2004,NA
W177623003,2009,SG
W6968102435,2012,NA
W2581610544,2016,NA
W605248403,1995,NA
W2156468487,2013,GB
W2179343889,2015,GB
W2554135140,2016,NA
W2324125520,1975,NA
W4280494168,2022,NA
W4298171807,2013,NA
W6962934459,2015,NA
W174758427,2010,DE
W2077419346,1991,US
W6922437171,2018,NA
W1550341078,2014,CA
W2092307040,1992,GB
W6962973153,2015,DE
W2912362633,2012,NA
W2067297768,2015,NA
W2319828208,2012,NA
W2161564750,1983,IL
W2160167418,2010,GB
W2075503912,2008,NA
W2963312144,2017,NL
W7097432661,2009,NA
W6955177894,2005,NA
W2051405067,2010,GB;IE;US
W1821655122,2014,IT
W2787913601,2018,NA
W1998572429,2000,HK
W2143301584,1978,NA
W2894424550,2013,NA
W1568669012,2006,NA
W2016971174,2005,NA
W3113786846,2020,US
W2573750093,2016,NL;US
W2126216613,2003,SE
W2052548158,2013,IT;UZ
W4231976310,2017,NA
W2010122906,1986,NA
W2008368395,2003,NA
W1564120371,2010,DE
W2511714226,2016,TW
W2036552232,1996,AU
W1516582089,2006,AU
W2069677263,2010,AT
W4235953092,2012,NA
W4240530181,2016,NA
W594519770,2004,NA
W198998754,2009,CH
W392814844,2009,NA
W561535798,2014,NA
W1536313590,1997,NA
W6906908050,2017,NA
W2047911491,1986,US
W2013970953,2007,FI;US
W2033420318,2007,US
W2346443454,2000,NA
W2017146118,2010,ES
W1536348789,1980,NA
W2089832600,1997,US
W1569113775,2004,NO
W3132936636,2021,CH
W2111688703,1994,US
W1499632330,1991,NA
W1521964574,2005,US
W4242222816,2011,NA
W2489074695,1999,NA
W1961342963,2015,DE
W2145234608,2005,US
W1573418987,1992,NA
W655726244,2005,NA
W2797199205,2018,DE
W6892688001,2018,AT
W2898506642,2018,DE
W636128587,2009,NA
W114189172,2005,NA
W591157143,1991,NA
W4256117059,1995,NA
W7095694184,2015,NA
W2530797080,2013,NA
W2062983859,2011,GB
W2112378812,2004,FI
W6940764689,2010,NA
W48663515,2005,IT
W2043554314,1980,NA
W4253603997,2015,NA
W6936546850,2010,NA
W4240982721,2002,US
W2797685146,1993,NA
W2330820318,1985,NA
W3022868730,1997,NA
W1629017939,1996,NA
W131456442,1999,US
W1594470049,2000,SE
W1732953031,2001,NA
W2502993979,2009,NA
W4252498348,1973,NA
W4232227198,1945,NA
W4239327536,2020,NA
W4232346349,2013,NA
W2607331267,2017,GB
W4256269742,2008,CA;FR
W2181995626,2015,US
W4231832607,2014,NA
W1574198605,1958,NA
W4241767771,1999,NA
W2765600065,2017,NA
W3092872802,2012,NA
W4231763734,1965,NA
W2031530666,1992,NA
W2015850049,2014,DE
W4234191170,1995,NA
W6982602362,NA,NA
W7086620768,2000,NA
W1524561087,2008,NA
W1833785989,1989,NA
W2091780959,1990,EE;US
W3161906175,1995,CA
W4243166200,2012,US
W2080048221,1997,US
W3217168150,1986,NA
W2152577585,2005,DE;GB;US
W2294578991,2016,NA
W2324355469,1997,NA
W2408350387,2015,GB
W2057640438,1999,US
W2743189536,2011,NA
W2803785402,2003,US
W7096554397,2013,NA
W4237259407,2003,US
W2138582924,2009,US
W2175597406,2013,GB
W2141034612,2012,US
W6912354536,2025,NA
W2900141533,2018,DE
W2494192906,1993,NA
W7003343922,NA,NA
W4386966209,1976,NA
W6999427202,NA,NA
W2013731798,2008,US
W2007565405,1990,US
W2281816568,2013,IL;US
W7074687844,1997,NA
W1493144261,2001,NA
W2120780511,2007,CN
W2288512134,1994,NA
W2298585625,2006,GB
W1980569847,2000,NA
W2155638467,1994,US
W4248141252,1972,US
W6959596122,1996,NA
W2162969358,2008,NL;US
W2122322468,2006,US
W3124346487,2016,NA
W2319558190,1969,NA
W2112390708,2015,US
W4225665156,2021,DE;RU
W4205168779,1948,NA
W2122472280,1970,US
W7064965515,1975,NA
W3164306476,1995,US
W6912442762,2015,DE
W4242854026,2015,NA
W4230541729,2002,FI;HU
W2313991211,1992,NA
W7012130175,1995,NA
W1870754453,2004,NA
W2097073572,2005,ES;FR
W4298316712,1988,NA
W3186194285,2018,NA
W2030985250,1989,US
W4239006905,1975,US
W1967138298,1992,NA
W3045485643,1999,NA
W1515823327,2007,NA
W2491322121,2010,NA
W4230674625,2000,US
W3201414383,2021,ES
W4232713864,2012,NA
W1530710257,2008,NA
W7030106679,NA,NA
W4299513722,2004,NA
W4247601153,1988,NA
W2314792675,2008,CA
W2490557014,2013,US
W1591331509,2010,NA
W1977803477,2002,US
W7058600011,NA,NA
W4213159962,1964,NA
W2018205712,2008,US
W2141515438,2011,FI
W2074093568,2000,NA
W2767735817,2012,NA
W2902646442,2014,NA
W3201736957,2014,NA
W1528184356,1991,NA
W3160004228,2005,NA
W2155061451,2008,AU;FR;GB;NL
W2739322668,2017,US
W2047721242,2008,US
W1580027200,1997,CA
W1695074841,2002,NA
W2107214394,2008,NA
W7053350207,2004,NA
W2076859930,2011,CN
W2522848763,2016,NA
W2161019418,2013,AU
W4242563856,2017,NA
W2940225719,2019,GB
W2153318297,2014,ES
W4256356947,1988,NA
W1984689597,2013,NL
W4248903794,2019,DE
W2002827932,1980,US
W2326529218,1933,US
W2901143486,2018,IT
W2002546539,1966,NA
W2079907791,1976,US
W2147495744,2010,US
W1603580062,1927,NA
W6890406761,2002,NA
W1543082289,1964,NA
W2001524118,1997,SE
W2109827598,1988,NA
W4411771011,2009,NA
W7095413283,2014,NA
W2099603485,2009,AU;GB
W2896828731,1978,US
W2081267498,1998,IL
W567943190,2002,NA
W4243159994,2018,NA
W6944871961,2004,NA
W1980953150,1999,US
W2033409555,2011,GB
W3127260960,2020,NA
W2109750438,1999,NA
W1588612820,1999,US
W6945735098,2022,NA
W3201713007,2019,US
W6983937282,2013,NA
W2798427899,2004,NA
W6983904309,NA,NA
W4231969982,1981,NA
W4230997226,2009,US
W7013185768,2017,NA
W2568322411,1959,NA
W2000992716,2008,IE
W2047224058,2012,CA
W2320349078,1989,NA
W2008481859,2009,US
W4247210945,1955,NA
W7082763353,1969,NA
W2082092506,1953,NA
W2019682007,2010,US
W597197555,1998,NA
W2730124785,1993,NA
W620757538,2001,NA
W4239205658,2004,NA
W4253927351,2002,NA
W4250944130,2017,CA
W2335383874,1975,NA
W2494022067,2014,NA
W4246502257,1972,US
W2003165685,1989,US
W624527520,1982,NA
W2128075856,2008,US
W4213262649,2010,CL
W2125184362,2014,AU
W3003141724,2009,NA
W1492834058,1998,US
W4242052725,1866,NA
W3100446233,2021,NA
W1999111115,2010,BE
W6978050798,2020,NA
W4322750018,2023,BA
W2799137599,2009,NA
W1546552670,2008,US
W2316996788,1989,NA
W2500977095,2008,US
W2045738181,1988,NA
W2811063776,2005,NA
W591631827,1982,NA
W562319743,2004,NA
W7011981749,1988,NA
W7100624795,2008,NA
W2165570465,2011,GB
W2797156300,1992,NA
