citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj
JO,140,9,47,10,0.3357142857142857,0.07142857142857142,48,3.02298765187846,0.09223090277777778,0.0010229713909001013,0.3346913143233856,0.07040560003767132
PH,130,8,56,2,0.4307692307692308,0.015384615384615385,32,2.6086098332825336,0.16420118343195267,5.228520442378295e-4,0.43024637872499294,0.014861763340377556
LB,118,2,22,1,0.1864406779661017,0.00847457627118644,49,3.296977732044795,0.059738625639852445,4.887529978744927e-4,0.1859519249682272,0.007985823273311947
SK,117,7,11,1,0.09401709401709402,0.008547008547008548,33,2.97285482816969,0.07357142857142857,0.0010229713909001013,0.09299412262619391,0.007524037156108446
BD,110,5,13,1,0.11818181818181818,0.00909090909090909,29,2.669142191217333,0.1078971533516988,8.638425078711966e-4,0.11731797567394699,0.008227066583037894
RS,107,11,27,13,0.2523364485981308,0.12149532710280374,34,2.8169809240920247,0.10915858725761775,8.297434615078598e-4,0.25150670513662293,0.12066558364129588
LV,101,10,13,3,0.12871287128712872,0.0297029702970297,33,2.9962541444877644,0.08075295165961237,3.8645585878448267e-4,0.12832641542834422,0.02931651443824522
,90,10,0,0,0,0,19,2.1162025382232144,0.22831094990687187,NA,NA,NA
TN,87,3,14,11,0.16091954022988506,0.12643678160919541,27,2.765991336147889,0.09597222222222222,6.706145784789552e-4,0.1602489256514061,0.12576616703071647
IQ,82,4,12,6,0.14634146341463414,0.07317073170731707,47,3.4281173886590914,0.05017727300042065,6.024164857522818e-4,0.14573904692888184,0.07256831522156479
MN,82,11,30,0,0.36585365853658536,0,23,2.669547234471465,0.1018,3.4099046363336705e-4,0.365512668072952,-3.4099046363336705e-4
BN,75,2,10,0,0.13333333333333333,0,29,2.9050735180421463,0.0804823056563082,2.7279237090669365e-4,0.13306054096242664,-2.7279237090669365e-4
PE,74,2,15,4,0.20270270270270271,0.05405405405405406,27,2.785753964696803,0.09024793388429751,6.251491833278396e-4,0.20207755351937487,0.05342890487072622
RW,59,1,37,0,0.6271186440677966,0,19,2.0033144508360303,0.2700444444444445,4.5465395151115604e-5,0.6270731786726454,-4.5465395151115604e-5
BA,46,2,10,0,0.21739130434782608,0,21,2.680815702822009,0.08994708994708994,3.068914172700303e-4,0.21708441293055605,-3.068914172700303e-4
ML,46,5,16,1,0.34782608695652173,0.021739130434782608,26,2.82716728261823,0.0821256038647343,9.093079030223121e-5,0.3477351561662195,0.021648199644480375
PS,42,1,1,0,0.023809523809523808,0,23,2.843282401487278,0.07470414201183433,1.0229713909001011e-4,0.023707226670433797,-1.0229713909001011e-4
MT,40,7,6,0,0.15,0,14,2.245072802581801,0.14259846084200997,5.569510906011662e-4,0.14944304890939883,-5.569510906011662e-4
KW,36,3,1,1,0.027777777777777776,0.027777777777777776,19,2.3693775210651657,0.17787031528851874,1.9322792939224133e-4,0.027584549848385535,0.027584549848385535
KE,34,4,13,1,0.38235294117647056,0.029411764705882353,20,2.467072587294157,0.14666666666666667,3.5235681242114594e-4,0.38200058436404943,0.029059407893461207
PR,34,3,21,0,0.6176470588235294,0,15,1.917498122313305,0.28494943486020224,2.6142602211891476e-4,0.6173856328014106,-2.6142602211891476e-4
AZ,32,3,8,5,0.25,0.15625,21,2.7485372807400763,0.08349769888231426,1.1366348787778902e-4,0.24988633651212222,0.15613633651212222
LK,32,3,12,3,0.375,0.09375,20,2.7826122376872666,0.07378472222222222,3.9782220757226156e-4,0.3746021777924277,0.09335217779242774
ME,28,2,5,1,0.17857142857142858,0.03571428571428571,20,2.662631946932698,0.10037484381507704,6.819809272667341e-5,0.1785032304787019,0.03564608762155904
XK,28,2,11,1,0.39285714285714285,0.03571428571428571,21,2.6037173076802165,0.11453561016243231,4.5465395151115604e-5,0.39281167746199175,0.0356688203191346
VE,25,1,0,0,0,0,18,2.5989550842434204,0.1015625,2.0459427818002022e-4,-2.0459427818002022e-4,-2.0459427818002022e-4
TZ,24,2,3,3,0.125,0.125,20,2.708634992142628,0.09641873278236915,3.2962411484558816e-4,0.12467037588515441,0.12467037588515441
SM,22,1,8,0,0.36363636363636365,0,13,2.2737963056294093,0.1377551020408163,4.5465395151115604e-5,0.36359089824121255,-4.5465395151115604e-5
CM,21,2,2,2,0.09523809523809523,0.09523809523809523,7,1.3625664136253979,0.3842975206611571,1.1366348787778902e-4,0.09512443175021744,0.09512443175021744
IS,21,3,6,2,0.2857142857142857,0.09523809523809523,10,1.9857190175767012,0.1909722222222222,5.001193466622716e-4,0.2852141663676234,0.09473797589143296
