citing_country,citing_year,n_citations,scr_any,scr_majority
BE,2016,71,0.18309859154929578,0.18309859154929578
BE,2017,163,0.18404907975460122,0.06134969325153374
BE,2018,73,0.3013698630136986,0.1780821917808219
BE,2019,84,0.34523809523809523,0.09523809523809523
BE,2020,110,0.20909090909090908,0.05454545454545454
BE,2021,307,0.1237785016286645,0.04560260586319218
BE,2022,225,0.3333333333333333,0.044444444444444446
BE,2023,352,0.20738636363636365,0.03977272727272727
BE,2024,68,0.38235294117647056,0
BE,2025,111,0.3063063063063063,0.09009009009009009
BG,2003,1,0,0
BG,2011,7,0,0
BG,2013,31,0.16129032258064516,0.03225806451612903
BG,2015,2,0.5,0.5
BG,2018,4,0.5,0.5
BG,2020,30,0.9666666666666667,0
BG,2023,20,0.3,0.3
BG,2024,4,0.25,0.25
BG,2025,108,0.037037037037037035,0
BR,2012,1,0,0
BR,2014,14,0.42857142857142855,0.14285714285714285
BR,2016,24,0.5833333333333334,0.08333333333333333
BR,2017,18,0.2777777777777778,0
BR,2018,78,0.08974358974358974,0.07692307692307693
BR,2019,69,0.18840579710144928,0.17391304347826086
BR,2020,38,0.47368421052631576,0.47368421052631576
BR,2021,198,0.2222222222222222,0.16161616161616163
BR,2022,138,0.2898550724637681,0.2463768115942029
BR,2023,43,0.5813953488372093,0.5581395348837209
BR,2024,99,0.29292929292929293,0.21212121212121213
BR,2025,123,0.25203252032520324,0.17886178861788618
CA,2000,11,0.6363636363636364,0.6363636363636364
CA,2001,16,1,0
CA,2002,24,0.2916666666666667,0.2916666666666667
CA,2003,60,0.1,0.1
CA,2004,32,0.0625,0.0625
CA,2005,20,0.2,0.2
CA,2006,18,0.3333333333333333,0.3333333333333333
CA,2007,56,0.23214285714285715,0.23214285714285715
CA,2009,60,0.6333333333333333,0.03333333333333333
CA,2010,40,0.2,0.15
CA,2011,165,0.2606060606060606,0.06666666666666667
CA,2012,188,0.11702127659574468,0.05851063829787234
CA,2013,71,0.38028169014084506,0.2535211267605634
CA,2014,116,0.14655172413793102,0.05172413793103448
CA,2015,349,0.28653295128939826,0.18624641833810887
CA,2016,179,0.3854748603351955,0.13966480446927373
CA,2017,184,0.33152173913043476,0.08152173913043478
CA,2018,248,0.4032258064516129,0.08870967741935484
CA,2019,327,0.22018348623853212,0.1651376146788991
CA,2020,169,0.28994082840236685,0.11242603550295859
CA,2021,240,0.39166666666666666,0.17916666666666667
CA,2022,288,0.5173611111111112,0.1388888888888889
CA,2023,449,0.21158129175946547,0.13140311804008908
CA,2024,422,0.20853080568720378,0.12322274881516587
CA,2025,278,0.29856115107913667,0.11510791366906475
CH,2005,16,0.25,0.25
CH,2008,9,0.7777777777777778,0
CH,2010,39,0.1282051282051282,0.1282051282051282
CH,2011,10,0.4,0.1
CH,2012,15,0.5333333333333333,0
CH,2013,48,0.16666666666666666,0.0625
CH,2014,75,0.2,0.12
