work_id,openalex_id,ref_quality,confidence,cited_countries,cited_year
6518,W1505244248,xml_bibl,1,FR,2011
6520,W2169511760,xml_bibl,1,SI,2020
6520,W2531909931,xml_bibl,1,DE,2016
6536,W4256272487,xml_bibl,1,US,2006
6536,W2065139259,xml_bibl,1,CA,2010
6536,W2417625413,xml_bibl,1,NL,2015
6536,W2623988670,xml_bibl,1,NL,2017
6539,W2620233016,xml_bibl,1,ES;PT,2017
6539,W2173468644,xml_bibl,1,DK;ES,2014
6539,W2592825817,xml_bibl,1,ES,2017
6539,W3174655110,xml_doi_only,1,ES;FR,2023
6539,W6931634652,xml_doi_only,1,ES;PT,2017
6542,W2410635248,xml_bibl,1,DE;HK,2016
6542,W2621875361,xml_bibl,1,US,2017
6542,W87316157,xml_bibl,1,US,2014
6542,W2564406190,xml_bibl,1,GB,2016
6548,W2748142937,xml_bibl,1,US,2017
6548,W2461309163,xml_bibl,1,US,2016
6554,W2128955271,xml_bibl,1,US,2013
6559,W2560229946,xml_bibl,1,CO,2016
6560,W1981596558,xml_bibl,1,GB,2014
6561,W1986310535,xml_bibl,1,US,1989
6563,W4231135508,xml_bibl,1,US,2014
6568,W2507699548,xml_bibl,1,GB,2016
6568,W2112164461,xml_bibl,1,GB,2015
6577,W1658156241,xml_bibl,1,CH,2015
6578,W2058236716,xml_bibl,1,IT,2013
6578,W2012379344,xml_bibl,1,ES;IT,2013
6579,W2028695285,xml_bibl,1,FR,2014
6581,W2563017468,xml_bibl,1,DE,2016
6582,W1481186935,xml_doi_only,1,US,2015
6582,W2160525869,xml_doi_only,1,DE;NL,2014
6582,W2767637721,xml_doi_only,1,PT,2017
6582,W2753478003,xml_doi_only,1,US,2017
6587,W2767855016,xml_bibl,1,EG;ES,2017
6587,W2059526646,xml_bibl,1,AT,2015
6587,W2767225759,xml_bibl,1,AT,2017
6588,W2131182491,xml_bibl,1,US,2014
6635,W4250890287,xml_biblstruct,0.9882352941176472,US,1996
7854,W2058071972,xml_bibl,1,BE;DE;NL,2014
9716,W2008769382,xml_doi_only,1,US,2001
9725,W2174706414,xml_bibl,1,US,2012
9725,W1975879668,xml_bibl,1,US,1971
9725,W6911937916,xml_bibl,1,DE,2018
9725,W1825051614,xml_bibl,1,DE,2006
9725,W6931020666,xml_doi_only,1,DE,2019
9726,W2104756827,xml_bibl,1,BE,2013
9729,W2893001937,xml_bibl,1,SI,2018
9739,W1776823293,xml_doi_only,1,CN;US,2009
9740,W2735145739,xml_bibl,1,IE;US,2017
9750,W2620233016,xml_bibl,1,ES;PT,2017
9752,W4248903794,xml_bibl,1,DE,2019
9752,W1480197477,xml_bibl,1,DE;US,2014
9752,W2567325828,xml_bibl,1,DE;US,2016
9754,W2900326774,xml_bibl,1,US,2018
9759,W2760817094,xml_bibl,1,US,2017
9761,W2795779899,xml_bibl,1,BE;DE;PL,2018
9762,W2059479210,xml_bibl,1,IT,2014
9762,W1599928623,xml_bibl,1,IT,2006
9767,W1517278739,xml_bibl,0.9704537439755496,CA,2013
9767,W2779376275,xml_bibl,1,FR,2017
9768,W2088091054,xml_bibl,1,GB,2015
9768,W1499958408,xml_doi_only,1,AU;CH,2009
9770,W2019343796,xml_bibl,1,CA,2015
