citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj,endogeneity_ratio_any,endogeneity_ratio_maj,meets_threshold,z_score_any,p_value_any
BE,1445,122,331,116,0.2290657439446367,0.08027681660899653,72,2.8988197756972816,0.10667092466250544,0.01138127903308612,0.21768446491155058,0.06889553757591041,20.12653791183993,7.0534090567173156,TRUE,55.614342576716425,0
AT,1414,124,395,113,0.27934936350777934,0.07991513437057991,70,2.9981848989742486,0.08808650082089182,0.010026659409039457,0.2693227040987399,0.06988847496154045,27.860661473744095,7.970265181096412,TRUE,82.6575883079374,0
IL,1271,62,306,160,0.24075531077891424,0.12588512981904013,65,2.861117381671468,0.1082236203391041,0.01114623087914195,0.22960907989977228,0.11473889893989818,21.599706070097827,11.293963958221086,TRUE,61.699167851047775,0
KR,1037,54,227,67,0.218900675024108,0.06460945033751206,65,3.0750440761809315,0.09010723268774896,0.008486475452931607,0.2104141995711764,0.05612297488458045,25.794062121335653,7.613225383830348,TRUE,68.89265449340395,0
JP,982,91,182,81,0.18533604887983707,0.0824847250509165,72,2.96950699360517,0.11054984375602794,0.017535829379782146,0.16780021950005491,0.06494889567113435,10.568992481959217,4.703782368344487,TRUE,42.8001404664702,0
IN,956,96,150,79,0.15690376569037656,0.08263598326359832,76,3.167016126437022,0.08937537095538264,0.014276082613240634,0.14262768307713591,0.06835990065035769,10.990673698179155,5.788421481041021,TRUE,44.94671445613019,0
HK,892,59,225,60,0.2522421524663677,0.06726457399103139,70,3.0181607626567044,0.09454036196495261,0.007812258379775962,0.24442989408659177,0.05945231561125543,32.287994099038166,8.61013175974351,TRUE,71.01317520093684,0
IR,855,46,266,110,0.3111111111111111,0.1286549707602339,67,3.0082318170514304,0.10404279044040848,0.0036679882970761246,0.30744312281403496,0.12498698246315779,84.81791268502904,35.07507667426013,TRUE,99.77809793295971,0
DK,853,71,246,51,0.28839390386869873,0.059788980070339975,59,2.892981113219688,0.10508373393659472,0.009556563101151118,0.2788373407675476,0.050232416969188856,30.177575433364826,6.256326614234171,TRUE,77.31765034023883,0
IE,834,77,209,65,0.25059952038369304,0.07793764988009592,63,2.87021947888922,0.10791828236545681,0.008511217363873098,0.24208830301981996,0.06942643251622282,29.44344030589482,9.157050812838103,TRUE,57.96140751302277,0
TW,810,60,193,103,0.2382716049382716,0.1271604938271605,63,3.101572653538054,0.0840557037037037,0.00639578397837557,0.23187582095989603,0.12076470984878493,37.254479786040065,19.881924445399623,TRUE,69.46420647276155,0
SE,732,103,211,38,0.28825136612021857,0.05191256830601093,50,2.8193741544126643,0.11012177867794638,0.014362679301535853,0.2738886868186827,0.037549889004475076,20.069470331304746,3.6144069790975375,TRUE,58.60342014430957,0
TR,731,35,166,114,0.2270861833105335,0.15595075239398085,69,3.139483376714052,0.0815773253415516,0.005127761042624127,0.22195842226790938,0.1508229913513567,44.28564073538075,30.413030384538587,TRUE,71.14773271301871,0
PL,715,87,119,67,0.16643356643356644,0.0937062937062937,59,2.9378682312171045,0.09839947301892503,0.004997866010181296,0.16143570042338515,0.08870842769611241,33.30092605414388,18.749260887627223,TRUE,46.84016359583854,0
MY,664,32,114,28,0.1716867469879518,0.04216867469879518,73,3.296043455436594,0.07130476361245593,0.004348390847967142,0.16733835613998466,0.037820283850828036,39.48282318463042,9.697535519032032,TRUE,64.02554282089301,0
LU,650,23,74,25,0.11384615384615385,0.038461538461538464,46,2.8288689362776793,0.10550878099173554,0.0010206038263365271,0.11282555001981733,0.037440934635201935,111.5478414918415,37.68508158508158,TRUE,61.889922757343456,0
RU,594,92,149,42,0.25084175084175087,0.0707070707070707,67,3.1521881888364027,0.08911573823688479,0.004886527410944585,0.24595522343080628,0.06582054329612612,51.333335464348124,14.469799258406852,TRUE,76.24579893463209,0
PT,485,47,104,43,0.21443298969072164,0.088659793814433,57,3.035212443758036,0.08609303595171217,0.006303001812344977,0.20812998787837667,0.08235679200208802,34.020772335926665,14.06628086966199,TRUE,50.415199002835635,0
BR,479,61,100,63,0.20876826722338204,0.1315240083507307,51,3.0005609322546203,0.0860969387755102,0.007335976594152249,0.2014322906292298,0.12418803175657844,28.45814249050333,17.9286297690171,TRUE,47.327877733509624,0
ID,447,38,73,48,0.16331096196868009,0.10738255033557047,68,3.2990784021337594,0.07087674567953302,0.002350481539441699,0.16096048042923838,0.10503206879612877,69.47978923819615,45.685340868950895,TRUE,67.56454679829012,0
CY,393,22,57,21,0.1450381679389313,0.05343511450381679,48,3.026179264120302,0.08127037797367467,0.001707191854962918,0.14333097608396836,0.051727922648853876,84.95715787144596,31.300005531585352,TRUE,49.225937066285574,0
VN,387,19,191,9,0.4935400516795866,0.023255813953488372,48,2.547304436497612,0.16793604494139253,0.0013546196240466634,0.49218543205553994,0.02190119432944171,364.3384776940049,17.16778167144526,TRUE,299.87914857602874,0
NO,378,39,106,19,0.2804232804232804,0.05026455026455026,49,2.8762696497673823,0.11171490602638712,0.007954524367689538,0.27246875605559084,0.042310025896860726,35.25330584972887,6.318988784385363,TRUE,58.264433188781545,0
MX,362,45,62,16,0.1712707182320442,0.04419889502762431,50,2.8548194359822983,0.11965895691609979,0.0035133513536918025,0.1677573668783524,0.040685543673932505,48.74853124270485,12.580266127149637,TRUE,47.28703399774212,0
CZ,345,33,84,15,0.24347826086956523,0.043478260869565216,57,3.0814273979484734,0.08201887221862363,0.004447358491733109,0.23903090237783212,0.039030902377832105,54.7467134304892,9.776198826873072,TRUE,52.82900752751039,0
ZA,292,21,66,2,0.22602739726027396,0.00684931506849315,47,2.9558376099845796,0.09258092370883801,0.005300954419214568,0.22072644284105938,0.0015483606492785826,42.639000335672385,1.2920909192627996,TRUE,60.097893092948695,0
RS,287,40,89,56,0.31010452961672474,0.1951219512195122,51,3.037387294388927,0.08077083174551061,0.0010700876482195101,0.3090344419685052,0.1940518635712927,289.7935791826952,182.34202735090938,TRUE,127.46726028396708,0
AE,281,18,99,17,0.35231316725978645,0.060498220640569395,59,3.258273662269404,0.06953897251934747,0.0021278043409682745,0.3501853629188182,0.05837041629960112,165.5759227840768,28.432229164942484,TRUE,131.97230014148107,0
