author_id,n_citations_total,n_works,n_countries_cited,shannon_entropy,hhi,top_country,top_country_share,self_cite_rate,author_name,author_countries,max_entropy,entropy_norm
https://openalex.org/A5037026769,264,3,37,2.7651022244638925,0.11085284664830121,US,0.23863636363636365,0.30726256983240224,Xia Zheng,CN,3.6109179126442243,0.7657615851031759
https://openalex.org/A5022078517,60,4,20,2.764949931623221,0.07611111111111112,DE,0.15,0.7058823529411765,Matej Ďurčo,AT,2.995732273553991,0.9229629616878343
https://openalex.org/A5052506636,190,7,29,2.757010231749973,0.09235457063711912,US,0.1736842105263158,0.4260869565217391,Daniele Metilli,IT,3.367295829986474,0.8187609200231889
https://openalex.org/A5063008577,84,3,22,2.7533944183084276,0.07794784580498866,DE,0.11904761904761904,0.5454545454545454,Lucia Giagnolini,IT,3.091042453358316,0.8907656429360765
https://openalex.org/A5055324596,194,11,30,2.7528833024281703,0.09182697417366352,GB,0.15463917525773196,0.32413793103448274,Sander Münster,DE,3.4011973816621555,0.8093865170162057
https://openalex.org/A5034136057,140,6,32,2.7528828138840913,0.1113265306122449,US,0.2642857142857143,0.18095238095238095,Seyed Mostafa Fakhrahmad,IR,3.4657359027997265,0.7943140767478067
https://openalex.org/A5047276842,196,3,35,2.752219956386464,0.12734277384423157,US,0.3163265306122449,0.1111111111111111,Avshalom Elmalech,IL,3.5553480614894135,0.7741070378446994
https://openalex.org/A5081395585,196,3,35,2.752219956386464,0.12734277384423157,US,0.3163265306122449,0.1111111111111111,Omri Suissa,IL,3.5553480614894135,0.7741070378446994
https://openalex.org/A5072750611,182,4,33,2.7507619094850835,0.09672744837580002,US,0.1813186813186813,0.24390243902439024,Marieke van Erp,NL,3.4965075614664802,0.7867169914917554
https://openalex.org/A5083411784,169,6,27,2.744341700132739,0.0928889044501243,US,0.20710059171597633,0.125,Walter Daelemans,BE,3.295836866004329,0.8326691555762014
https://openalex.org/A5033582512,651,31,51,2.7386645980102857,0.13251266514236634,US,0.25499231950844853,0.43803418803418803,Melissa Terras,GB,3.9318256327243257,0.6965376529458888
https://openalex.org/A5008213712,153,3,31,2.7373277815179198,0.1102567388611218,US,0.24836601307189543,0.13559322033898305,Katerina El Raheb,GR,3.4339872044851463,0.797128124980397
https://openalex.org/A5084844685,153,3,31,2.7373277815179198,0.1102567388611218,US,0.24836601307189543,0.13559322033898305,Marina Stergiou,GR,3.4339872044851463,0.797128124980397
https://openalex.org/A5029182918,113,8,25,2.731514410132827,0.08794737254287728,AT,0.17699115044247787,0.35294117647058826,Amelie Dorn,AT,3.2188758248682006,0.8485926636342584
https://openalex.org/A5103163136,55,3,24,2.7266125886144863,0.10876033057851238,US,0.2727272727272727,0.2631578947368421,Kiyonori Nagasaki,JP,3.1780538303479458,0.8579504105869616
https://openalex.org/A5015764032,76,6,19,2.725283343557674,0.07479224376731301,US,0.11842105263157894,0.125,Chung Chang,TW,2.9444389791664403,0.9255696459802987
https://openalex.org/A5102019604,150,11,26,2.723572650485638,0.09182222222222222,US,0.20666666666666667,0.14953271028037382,Chih‐Ming Chen,TW,3.258096538021482,0.8359398252022207
https://openalex.org/A5026268052,92,5,27,2.7224858326719317,0.09735349716446125,IT,0.18478260869565216,0.32075471698113206,Angelo Mario Del Grosso,IT,3.295836866004329,0.8260377996112735
https://openalex.org/A5029199212,121,6,29,2.7184904702885295,0.1139949457004303,DE,0.256198347107438,0.5689655172413793,José Calvo Tello,DE,3.367295829986474,0.8073215445105247
https://openalex.org/A5046812287,58,3,24,2.718455349045408,0.09750297265160524,CN,0.1896551724137931,0.1346153846153846,Mingzhe Jin,JP,3.1780538303479458,0.8553836700581566
https://openalex.org/A5025599310,174,7,30,2.7145287086058665,0.10067380103051922,US,0.21264367816091953,0.2558139534883721,Simone Rebora,IT,3.4011973816621555,0.7981097254871119
