citing_country,citing_year,n_citations,scr_any,scr_majority,expected_scr,excess_scr_any
DE,2022,1840,0.30217391304347824,0.14945652173913043,0.060098101676883016,0.24207581136659523
DE,2023,1776,0.3096846846846847,0.13457207207207209,0.060098101676883016,0.24958658300780168
DE,2024,2557,0.30035197497066873,0.12631990614000782,0.060098101676883016,0.24025387329378572
DE,2025,2113,0.28537624230951253,0.13487931850449597,0.060098101676883016,0.22527814063262952
ES,2007,1,1,0,0.028855253635514538,0.9711447463644854
ES,2008,75,0.32,0.17333333333333334,0.028855253635514538,0.29114474636448545
ES,2009,50,0.34,0.16,0.028855253635514538,0.31114474636448547
ES,2010,295,0.22372881355932203,0.12203389830508475,0.028855253635514538,0.1948735599238075
ES,2011,301,0.23588039867109634,0.09302325581395349,0.028855253635514538,0.2070251450355818
ES,2012,551,0.30490018148820325,0.132486388384755,0.028855253635514538,0.2760449278526887
ES,2013,459,0.30501089324618735,0.16339869281045752,0.028855253635514538,0.2761556396106728
ES,2014,443,0.28216704288939054,0.13544018058690746,0.028855253635514538,0.253311789253876
ES,2015,282,0.32269503546099293,0.1773049645390071,0.028855253635514538,0.2938397818254784
ES,2016,630,0.2571428571428571,0.19206349206349208,0.028855253635514538,0.2282876035073426
ES,2017,727,0.2723521320495186,0.16781292984869325,0.028855253635514538,0.24349687841400405
ES,2018,481,0.23076923076923078,0.14760914760914762,0.028855253635514538,0.20191397713371625
ES,2019,397,0.24937027707808565,0.11083123425692695,0.028855253635514538,0.22051502344257112
ES,2020,726,0.22865013774104684,0.09917355371900827,0.028855253635514538,0.1997948841055323
ES,2021,908,0.27973568281938327,0.1343612334801762,0.028855253635514538,0.2508804291838687
ES,2022,1156,0.2958477508650519,0.1643598615916955,0.028855253635514538,0.26699249722953733
ES,2023,709,0.3427362482369535,0.24118476727785615,0.028855253635514538,0.3138809946014389
ES,2024,1047,0.3553008595988539,0.12893982808022922,0.028855253635514538,0.3264456059633393
ES,2025,2114,0.261116367076632,0.11778618732261116,0.028855253635514538,0.23226111344111747
FR,2007,55,0.509090909090909,0.16363636363636364,0.03328405569404153,0.4758068533968675
FR,2008,36,0.16666666666666666,0.1388888888888889,0.03328405569404153,0.13338261097262513
FR,2009,52,0.40384615384615385,0.11538461538461539,0.03328405569404153,0.37056209815211233
FR,2010,267,0.16104868913857678,0.1198501872659176,0.03328405569404153,0.12776463344453526
FR,2011,154,0.37012987012987014,0.16883116883116883,0.03328405569404153,0.3368458144358286
FR,2012,310,0.3258064516129032,0.2064516129032258,0.03328405569404153,0.2925223959188617
FR,2013,196,0.4387755102040816,0.08163265306122448,0.03328405569404153,0.4054914545100401
FR,2014,479,0.2609603340292276,0.12108559498956159,0.03328405569404153,0.22767627833518606
FR,2015,295,0.22033898305084745,0.16271186440677965,0.03328405569404153,0.18705492735680593
FR,2016,879,0.24118316268486917,0.05915813424345848,0.03328405569404153,0.20789910699082764
FR,2017,316,0.21835443037974683,0.10443037974683544,0.03328405569404153,0.1850703746857053
FR,2018,238,0.18487394957983194,0.058823529411764705,0.03328405569404153,0.15158989388579042
FR,2019,515,0.3378640776699029,0.09514563106796116,0.03328405569404153,0.30458002197586137
FR,2020,462,0.38961038961038963,0.12987012987012986,0.03328405569404153,0.3563263339163481
FR,2021,757,0.3949801849405548,0.21003963011889035,0.03328405569404153,0.3616961292465133
FR,2022,926,0.31965442764578833,0.1079913606911447,0.03328405569404153,0.2863703719517468
FR,2023,914,0.45076586433260396,0.14442013129102846,0.03328405569404153,0.41748180863856243
FR,2024,723,0.3360995850622407,0.16597510373443983,0.03328405569404153,0.30281552936819917
FR,2025,718,0.4777158774373259,0.04317548746518106,0.03328405569404153,0.4444318217432844
GB,2007,359,0.38440111420612816,0.233983286908078,0.11530349046508608,0.26909762374104207
GB,2008,274,0.4124087591240876,0.32116788321167883,0.11530349046508608,0.2971052686590015
GB,2009,631,0.4041204437400951,0.1347068145800317,0.11530349046508608,0.288816953275009
GB,2010,522,0.41762452107279696,0.19157088122605365,0.11530349046508608,0.30232103060771087
GB,2011,929,0.4294940796555436,0.147470398277718,0.11530349046508608,0.3141905891904575
GB,2012,860,0.38372093023255816,0.19186046511627908,0.11530349046508608,0.26841743976747207
GB,2013,997,0.3410230692076229,0.15045135406218657,0.11530349046508608,0.22571957874253679
GB,2014,1265,0.34624505928853755,0.16126482213438736,0.11530349046508608,0.23094156882345146
GB,2015,1056,0.41761363636363635,0.19318181818181818,0.11530349046508608,0.30231014589855026
GB,2016,1394,0.4332855093256815,0.17216642754662842,0.11530349046508608,0.3179820188605954
GB,2017,1265,0.4150197628458498,0.17865612648221343,0.11530349046508608,0.2997162723807637
GB,2018,1416,0.4159604519774011,0.1709039548022599,0.11530349046508608,0.300656961512315
