author_id,n_citations_total,n_works,n_countries_cited,shannon_entropy,hhi,top_country,top_country_share,self_cite_rate,author_name,author_countries
https://openalex.org/A5044758497,89,3,26,2.6150662265869866,0.12485797247822245,US,0.29213483146067415,0.14705882352941177,Giovanni Moretti,IT
https://openalex.org/A5100733931,55,5,22,2.614693459112319,0.10942148760330578,GB,0.21818181818181817,0.20930232558139536,Defeng Li,MO
https://openalex.org/A5067301751,158,6,33,2.6109814142710146,0.12890562409870213,US,0.27848101265822783,0.211864406779661,Sara Tonelli,IT
https://openalex.org/A5007907503,178,5,29,2.608604666936726,0.12302739553086732,GB,0.25280898876404495,0.5238095238095238,Patricia Murrieta‐Flores,GB
https://openalex.org/A5078767816,66,3,21,2.6056452687336824,0.10101010101010102,US,0.21212121212121213,0.1276595744680851,Jean-Baptiste Camps,FR
https://openalex.org/A5064723143,240,5,33,2.602302841603093,0.13065972222222222,US,0.2708333333333333,0.33146067415730335,Fabio Marton,IT
https://openalex.org/A5049190332,85,4,23,2.595743697478388,0.11003460207612456,ES,0.21176470588235294,0.4,Elena González‐Blanco,ES
https://openalex.org/A5075022301,38,3,17,2.589037914106573,0.09141274238227146,FR,0.15789473684210525,0.6,NA,NA
https://openalex.org/A5047107122,157,9,24,2.5866130186380265,0.12191163941742059,US,0.2802547770700637,0.2231404958677686,Jan Rybicki,PL
https://openalex.org/A5090258074,91,5,23,2.5849938545054347,0.10904480135249367,FR,0.23076923076923078,0.39285714285714285,Ariane Pinche,FR
https://openalex.org/A5065705742,295,5,32,2.5831618383781922,0.11646078713013502,IT,0.2,0.4207920792079208,Aldo Gangemi,IT
https://openalex.org/A5004791611,234,5,31,2.5810927372542047,0.13025056614800207,US,0.2606837606837607,0.3684210526315789,Fabio Bettio,IT
https://openalex.org/A5089520663,210,5,30,2.5719094934100406,0.1163718820861678,US,0.18571428571428572,0.2727272727272727,Angeliki Antoniou,GR
https://openalex.org/A5029129300,92,3,26,2.5715600667954623,0.12689035916824198,GB,0.2391304347826087,0.3225806451612903,Fabio Vitali,IT
https://openalex.org/A5027019518,143,6,26,2.5631949105679235,0.12347792068071789,US,0.23076923076923078,0.32323232323232326,Jani Marjanen,FI
https://openalex.org/A5054455924,71,5,21,2.5543185815034684,0.110493949613172,GB,0.2112676056338028,0.5,Toby Burrows,AU
https://openalex.org/A5008517596,255,4,29,2.5530554642755208,0.11990772779700115,US,0.20784313725490197,0.4180790960451977,Luigi Asprino,IT
https://openalex.org/A5052449132,45,3,18,2.5503174703963447,0.1091358024691358,US,0.24444444444444444,0.17647058823529413,Christian Wolff,DE
https://openalex.org/A5070772234,111,3,23,2.533061892841846,0.12393474555636719,US,0.2702702702702703,0.2876712328767123,Dieter W. Fellner,AT;DE
https://openalex.org/A5003639622,49,3,18,2.5312599530842887,0.11120366513952519,US,0.24489795918367346,0.15151515151515152,Sorin Hermon,CY
https://openalex.org/A5046911214,51,3,19,2.5311430308064935,0.10803537101114957,FI,0.17647058823529413,0.2972972972972973,Ruben Ros,LU
https://openalex.org/A5027028450,162,3,27,2.523657099831984,0.14098460600518214,US,0.3148148148148148,0.15315315315315314,Alkım Almila Akdağ Salah,NL;TR
https://openalex.org/A5063975186,114,3,21,2.514312788163449,0.12096029547553093,US,0.2719298245614035,0.13253012048192772,Fabrizio Sebastiani,IT
https://openalex.org/A5048899939,58,4,17,2.512934633909357,0.10642092746730084,GB,0.22413793103448276,0.34146341463414637,Mark Hedges,GB
https://openalex.org/A5003986704,125,4,21,2.5079327166317387,0.115776,US,0.232,0.2268041237113402,P. Boot,NL
https://openalex.org/A5011622556,73,3,21,2.5073838391857026,0.14017639331957213,US,0.3287671232876712,0.03773584905660377,George Mikros,QA
https://openalex.org/A5109881851,164,4,22,2.50513940660338,0.11592801903628792,DE,0.23780487804878048,0.3445378151260504,Meinard Müller,DE
https://openalex.org/A5012248611,96,4,27,2.504018082847307,0.16427951388888887,US,0.3645833333333333,0.10810810810810811,Saeed Farzi,IR
https://openalex.org/A5002896120,191,8,25,2.5039139647216806,0.12135084016337272,GR,0.2198952879581152,0.4,Martin Doerr,GR
https://openalex.org/A5049231784,92,4,18,2.499401557729387,0.11129489603024575,US,0.2391304347826087,0.4074074074074074,Joanna Byszuk,PL
https://openalex.org/A5025327745,24,4,14,2.4961806749775355,0.09722222222222222,US,0.20833333333333334,0,Maksym Vakulenko,UA
https://openalex.org/A5069890970,124,3,25,2.4959950090817267,0.1352757544224766,US,0.29838709677419356,0.17582417582417584,Jianwei Yan,CN
https://openalex.org/A5016878682,256,6,32,2.4939195086396118,0.166961669921875,US,0.359375,0.45108695652173914,Tim Weyrich,GB
https://openalex.org/A5037450666,42,3,17,2.4902719027435145,0.1111111111111111,US,0.23809523809523808,0.25,Wouter Haverals,BE
https://openalex.org/A5025300307,41,3,15,2.48499346557156,0.09815585960737656,FI,0.17073170731707318,0.25,Emily Öhman,JP
https://openalex.org/A5013666222,119,7,23,2.4814752912914795,0.1243556246027823,FI,0.23529411764705882,0.38823529411764707,Heikki Rantala,FI
https://openalex.org/A5048937508,273,4,29,2.4688324751646222,0.1418374055736693,US,0.29304029304029305,0.21844660194174756,Chaya Liebeskind,IL
https://openalex.org/A5003413978,93,3,21,2.4612987042938808,0.13631633714880334,US,0.2903225806451613,0.39473684210526316,Thomas C. Messerli,CH
https://openalex.org/A5006297499,104,4,24,2.4595954734093652,0.13683431952662722,US,0.27884615384615385,0.24050632911392406,Simon Hengchen,FI
https://openalex.org/A5057739549,65,3,18,2.458149245515485,0.11763313609467457,US,0.2153846153846154,0.19607843137254902,Elisabet Comelles,ES
https://openalex.org/A5019001786,63,3,19,2.4555285961200473,0.11463844797178128,US,0.1746031746031746,0.2222222222222222,Jane Hunter,AU
https://openalex.org/A5049844809,48,3,16,2.4554608908739044,0.11458333333333333,US,0.25,0.22857142857142856,Martin Hilpert,CH
