citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj,endogeneity_ratio_any,endogeneity_ratio_maj,meets_threshold,z_score_any,p_value_any
IL,3662,146,947,414,0.258601856908793,0.11305297651556527,84,2.8561996950946322,0.12128020964406987,0.01114623087914195,0.24745562602965104,0.10190674563642332,23.200834408761185,10.1427090234711,TRUE,107.5474421797066,0
IE,3487,202,852,242,0.2443361055348437,0.0694006309148265,92,2.8881620407140303,0.12094170311336397,0.008511217363873098,0.2358248881709706,0.0608894135509534,28.70753913205861,8.154019330936835,TRUE,119.45016031151599,0
AT,3364,226,881,238,0.2618906064209275,0.07074910820451843,92,3.0478997293376473,0.09476769666064112,0.010026659409039457,0.251863947011888,0.06072244879547898,26.11942779115665,7.056099675704066,TRUE,128.82230025406196,0
BR,3072,194,735,224,0.2392578125,0.07291666666666667,90,2.992746206502966,0.11165144952345504,0.007335976594152249,0.23192183590584775,0.06558069007251442,32.614309687236506,9.939599142776842,TRUE,139.88707744351922,0
DK,2984,177,811,279,0.2717828418230563,0.09349865951742628,92,2.9768484993812234,0.10625520510465428,0.009556563101151118,0.2622262787219052,0.08394209641627516,28.439391750609506,9.78371183528983,TRUE,129.00433050900654,0
NO,2704,151,549,180,0.20303254437869822,0.06656804733727811,92,2.9322439305462464,0.11590406413968467,0.007954524367689538,0.19507802001100868,0.05861352296958858,25.52415895580075,8.368576706819919,TRUE,103.66560869768826,0
TR,2326,108,442,226,0.19002579535683578,0.09716251074806535,97,3.140255868458815,0.09665301406156875,0.005127761042624127,0.18489803431421165,0.09203474970544123,37.05823921537308,18.94833045853918,TRUE,115.22297439612846,0
PT,2217,164,522,158,0.2354533152909337,0.07126747857465043,92,3.047778112994196,0.10036055690596747,0.006303001812344977,0.22915031347858872,0.06496447676230546,37.35574291439642,11.306910690564436,TRUE,130.47864257321845,0
HK,2172,125,532,103,0.24493554327808473,0.04742173112338858,93,2.99397521319711,0.10976494090213522,0.007812258379775962,0.23712328489830878,0.039609472743612616,31.352719197327538,6.070169318279579,TRUE,117.64576777791099,0
CZ,2090,170,474,160,0.22679425837320574,0.07655502392344497,97,3.0326745384351623,0.10760254824466417,0.004447358491733109,0.22234689988147263,0.07210766543171186,50.99527254094269,17.21359410664732,TRUE,101.33498583165503,0
KR,2004,112,458,85,0.22854291417165667,0.04241516966067864,84,3.0513150354702643,0.10490820522096896,0.008486475452931607,0.22005643871872507,0.03392869420774703,26.93025101400697,4.997972349761119,TRUE,101.35472559104537,0
SG,1986,77,371,111,0.18680765357502518,0.055891238670694864,83,2.867273154673612,0.13073529922978003,0.007682363347333131,0.17912529022769205,0.04820887532336173,24.316430391160022,7.275266235630087,TRUE,85.04877740453333,0
IR,1909,105,399,158,0.20900995285489785,0.08276584599266631,85,3.1329122610643525,0.09762886562781113,0.0036679882970761246,0.20534196455782172,0.07909785769559019,56.98217549426388,22.564370245848853,TRUE,130.5998610024474,0
PL,1868,174,344,141,0.1841541755888651,0.07548179871520343,82,3.005938069106216,0.10315301934527926,0.004997866010181296,0.1791563095786838,0.07048393270502214,36.846561155044846,15.102805589713148,TRUE,96.79965867086257,0
ZA,1734,93,348,168,0.20069204152249134,0.09688581314878893,96,3.217839308655386,0.09055580140219353,0.005300954419214568,0.19539108710327677,0.09158485872957436,37.859605205250475,18.277050788741608,TRUE,102.44502854279386,0
TW,1631,107,358,136,0.21949724095646841,0.08338442673206621,82,3.1017747598638303,0.09801721422566041,0.00639578397837557,0.21310145697809285,0.07698864275369063,34.31905169070724,13.03740511155359,TRUE,105.14360194792668,0
MY,1465,59,206,63,0.14061433447098975,0.043003412969283276,92,3.3652573848294227,0.07639476239898155,0.004348390847967142,0.1362659436230226,0.038655022121316135,32.33709650012865,9.889500385961677,TRUE,76.5288800460067,0
AE,1346,54,363,51,0.26968796433878156,0.03789004457652303,86,3.123801921938296,0.11160721452486148,0.0021278043409682745,0.2675601599978133,0.03576224023555476,126.74471949618163,17.807109350703204,TRUE,180.3543104488859,0
PK,1246,60,196,82,0.15730337078651685,0.06581059390048154,92,3.2418149799495235,0.09737691032295269,0.0030494405235388356,0.154253930262978,0.0627611533769427,51.584338035873,21.581202647661154,TRUE,95.18072945147978,0
VN,1216,65,303,76,0.24917763157894737,0.0625,85,3.149843601692489,0.08369560684723004,0.0013546196240466634,0.2478230119549007,0.06114538037595334,183.94656858327323,46.13841324200913,TRUE,230.98543856725615,0
NZ,1208,60,251,92,0.2077814569536424,0.076158940397351,75,2.809317204725002,0.13822735376786857,0.006179292257637518,0.20160216469600487,0.06997964813971347,33.62544581004846,12.324864599699037,TRUE,78.010580519013,0
RU,1184,149,275,93,0.23226351351351351,0.0785472972972973,72,3.046862238895987,0.10375466884334514,0.004886527410944585,0.22737698610256893,0.07366076988635271,47.531405020526854,16.074256970578173,TRUE,100.3449038262375,0
HU,1082,82,256,47,0.2365988909426987,0.04343807763401109,87,3.174389621945546,0.10085874701278617,0.002350481539441699,0.234248409403257,0.04108759609456939,100.6597528942504,18.480501507928786,TRUE,139.1570590919157,0
MX,1068,88,260,47,0.24344569288389514,0.04400749063670412,73,3.0373925167945597,0.11257269836827949,0.0035133513536918025,0.23993234153020335,0.04049413928301232,69.29158754022261,12.525786978424858,TRUE,125.84926195091012,0
